NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RESPONSE OF EIF2AK1 (HRI) TO HEME DEFICIENCY%REACTOME DATABASE ID RELEASE 83%9648895	RESPONSE OF EIF2AK1 (HRI) TO HEME DEFICIENCY%REACTOME DATABASE ID RELEASE 83%9648895	Details ...	15	-0.84487873	-2.1408494	0.0	0.3869221	0.309	715	tags=40%, list=5%, signal=42%	
MEMBRANE INVAGINATION%GOBP%GO:0010324	MEMBRANE INVAGINATION%GOBP%GO:0010324	Details ...	31	-0.6655444	-2.0270708	0.0	0.8075306	0.795	485	tags=13%, list=4%, signal=13%	
PLASMA MEMBRANE INVAGINATION%GOBP%GO:0099024	PLASMA MEMBRANE INVAGINATION%GOBP%GO:0099024	Details ...	24	-0.69559807	-2.0060494	0.0024813896	0.6614358	0.846	485	tags=17%, list=4%, signal=17%	
TRNA MODIFICATION%GOBP%GO:0006400	TRNA MODIFICATION%GOBP%GO:0006400	Details ...	84	-0.5372228	-1.9808002	0.0	0.63917303	0.912	3275	tags=45%, list=25%, signal=60%	
TRNA PROCESSING%GOBP%GO:0008033	TRNA PROCESSING%GOBP%GO:0008033	Details ...	111	-0.5148978	-1.9662236	0.0	0.58022976	0.94	3275	tags=44%, list=25%, signal=58%	
WHITE FAT CELL DIFFERENTIATION%WIKIPATHWAYS_20220510%WP4149%HOMO SAPIENS	WHITE FAT CELL DIFFERENTIATION%WIKIPATHWAYS_20220510%WP4149%HOMO SAPIENS	Details ...	23	-0.6835736	-1.9602056	0.0024570024	0.5112449	0.949	625	tags=26%, list=5%, signal=27%	
SNRNA METABOLIC PROCESS%GOBP%GO:0016073	SNRNA METABOLIC PROCESS%GOBP%GO:0016073	Details ...	49	-0.58383334	-1.9563946	0.0	0.45372847	0.955	3416	tags=51%, list=26%, signal=69%	
NEGATIVE REGULATION OF SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION%GOBP%GO:0051058	NEGATIVE REGULATION OF SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION%GOBP%GO:0051058	Details ...	32	-0.62541246	-1.9485859	0.0	0.42062414	0.961	578	tags=9%, list=4%, signal=10%	
REGULATION OF CELL FATE COMMITMENT%GOBP%GO:0010453	REGULATION OF CELL FATE COMMITMENT%GOBP%GO:0010453	Details ...	19	-0.72723204	-1.942502	0.009592326	0.39556038	0.968	20	tags=11%, list=0%, signal=11%	
PHAGOCYTOSIS, ENGULFMENT%GOBP%GO:0006911	PHAGOCYTOSIS, ENGULFMENT%GOBP%GO:0006911	Details ...	16	-0.73955184	-1.94135	0.0067264573	0.35951382	0.97	485	tags=13%, list=4%, signal=13%	
AORTA DEVELOPMENT%GOBP%GO:0035904	AORTA DEVELOPMENT%GOBP%GO:0035904	Details ...	17	-0.7151664	-1.9312422	0.004784689	0.35965374	0.979	658	tags=29%, list=5%, signal=31%	
MACROMOLECULE METHYLATION%GOBP%GO:0043414	MACROMOLECULE METHYLATION%GOBP%GO:0043414	Details ...	179	-0.4696098	-1.9259421	0.0	0.34787822	0.984	3447	tags=42%, list=26%, signal=56%	
RNA MODIFICATION%GOBP%GO:0009451	RNA MODIFICATION%GOBP%GO:0009451	Details ...	148	-0.48881432	-1.9135686	0.0	0.35657182	0.994	3275	tags=41%, list=25%, signal=53%	
INTEGRATED STRESS RESPONSE SIGNALING%GOBP%GO:0140467	INTEGRATED STRESS RESPONSE SIGNALING%GOBP%GO:0140467	Details ...	26	-0.6466647	-1.903703	0.006802721	0.36158884	0.997	1703	tags=31%, list=13%, signal=35%	
MESONEPHROS DEVELOPMENT%GOBP%GO:0001823	MESONEPHROS DEVELOPMENT%GOBP%GO:0001823	Details ...	19	-0.6989903	-1.8923087	0.0022522523	0.36746705	0.999	1202	tags=37%, list=9%, signal=41%	
URETERIC BUD DEVELOPMENT%GOBP%GO:0001657	URETERIC BUD DEVELOPMENT%GOBP%GO:0001657	Details ...	17	-0.72622555	-1.8871181	0.004158004	0.3581643	1.0	1202	tags=41%, list=9%, signal=45%	
MESONEPHRIC EPITHELIUM DEVELOPMENT%GOBP%GO:0072163	MESONEPHRIC EPITHELIUM DEVELOPMENT%GOBP%GO:0072163	Details ...	18	-0.71722835	-1.8856653	0.0	0.3408347	1.0	1202	tags=39%, list=9%, signal=43%	
REGULATION OF TRANSLATION IN RESPONSE TO STRESS%GOBP%GO:0043555	REGULATION OF TRANSLATION IN RESPONSE TO STRESS%GOBP%GO:0043555	Details ...	16	-0.7274893	-1.8839707	0.0023364485	0.3270298	1.0	848	tags=25%, list=6%, signal=27%	
MESONEPHRIC TUBULE DEVELOPMENT%GOBP%GO:0072164	MESONEPHRIC TUBULE DEVELOPMENT%GOBP%GO:0072164	Details ...	18	-0.71722835	-1.8786155	0.0065075923	0.32508278	1.0	1202	tags=39%, list=9%, signal=43%	
TRNA METHYLATION%GOBP%GO:0030488	TRNA METHYLATION%GOBP%GO:0030488	Details ...	37	-0.5883079	-1.8597666	0.0024271845	0.3566827	1.0	3275	tags=54%, list=25%, signal=72%	
TRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 83%6782315	TRNA MODIFICATION IN THE NUCLEUS AND CYTOSOL%REACTOME DATABASE ID RELEASE 83%6782315		41	-0.57364446	-1.837606	0.005063291	0.40035686	1.0	3076	tags=46%, list=24%, signal=60%	
KIDNEY EPITHELIUM DEVELOPMENT%GOBP%GO:0072073	KIDNEY EPITHELIUM DEVELOPMENT%GOBP%GO:0072073		35	-0.5871253	-1.8361906	0.002283105	0.38701403	1.0	1202	tags=26%, list=9%, signal=28%	
VENTRICULAR SEPTUM MORPHOGENESIS%GOBP%GO:0060412	VENTRICULAR SEPTUM MORPHOGENESIS%GOBP%GO:0060412		21	-0.6620571	-1.8328555	0.009153318	0.3803134	1.0	1161	tags=48%, list=9%, signal=52%	
METHYLATION%GOBP%GO:0032259	METHYLATION%GOBP%GO:0032259		184	-0.45188218	-1.8312397	0.0	0.3694679	1.0	3447	tags=41%, list=26%, signal=55%	
DNA-TEMPLATED TRANSCRIPTION INITIATION%GOBP%GO:0006352	DNA-TEMPLATED TRANSCRIPTION INITIATION%GOBP%GO:0006352		85	-0.49578172	-1.8264158	0.0028089888	0.36869517	1.0	3463	tags=38%, list=26%, signal=51%	
CARDIAC SEPTUM DEVELOPMENT%GOBP%GO:0003279	CARDIAC SEPTUM DEVELOPMENT%GOBP%GO:0003279		43	-0.55785215	-1.8239207	0.0024813896	0.36055472	1.0	1161	tags=30%, list=9%, signal=33%	
VENTRICULAR SEPTUM DEVELOPMENT%GOBP%GO:0003281	VENTRICULAR SEPTUM DEVELOPMENT%GOBP%GO:0003281		28	-0.61716056	-1.8173164	0.0046620048	0.36554393	1.0	1161	tags=39%, list=9%, signal=43%	
POSITIVE REGULATION OF P38MAPK CASCADE%GOBP%GO:1900745	POSITIVE REGULATION OF P38MAPK CASCADE%GOBP%GO:1900745		18	-0.67382216	-1.8172199	0.0022779044	0.35270783	1.0	1461	tags=39%, list=11%, signal=44%	
CARDIAC SEPTUM MORPHOGENESIS%GOBP%GO:0060411	CARDIAC SEPTUM MORPHOGENESIS%GOBP%GO:0060411		32	-0.59841096	-1.8091818	0.0073891627	0.3612696	1.0	1161	tags=34%, list=9%, signal=38%	
GENES CONTROLLING NEPHROGENESIS%WIKIPATHWAYS_20220510%WP4823%HOMO SAPIENS	GENES CONTROLLING NEPHROGENESIS%WIKIPATHWAYS_20220510%WP4823%HOMO SAPIENS		21	-0.64792633	-1.8085483	0.002352941	0.35059515	1.0	1202	tags=38%, list=9%, signal=42%	
RENAL TUBULE DEVELOPMENT%GOBP%GO:0061326	RENAL TUBULE DEVELOPMENT%GOBP%GO:0061326		24	-0.62808245	-1.8049803	0.0070422534	0.34803864	1.0	546	tags=21%, list=4%, signal=22%	
