NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CHOLESTEROL METABOLISM WITH BLOCH AND KANDUTSCH-RUSSELL PATHWAYS%WIKIPATHWAYS_20220510%WP4718%HOMO SAPIENS	CHOLESTEROL METABOLISM WITH BLOCH AND KANDUTSCH-RUSSELL PATHWAYS%WIKIPATHWAYS_20220510%WP4718%HOMO SAPIENS	Details ...	35	0.7791523	2.2760794	0.0	0.0	0.0	1599	tags=66%, list=12%, signal=75%	
IBANDRONATE ACTION PATHWAY%SMPDB%SMP0000079	IBANDRONATE ACTION PATHWAY%SMPDB%SMP0000079	Details ...	21	0.8216702	2.2040896	0.0	0.0014715559	0.003	1480	tags=76%, list=11%, signal=86%	
HYPERCHOLESTEROLEMIA%PATHWHIZ%PW000221	HYPERCHOLESTEROLEMIA%PATHWHIZ%PW000221	Details ...	21	0.8216702	2.199668	0.0	0.001958731	0.006	1480	tags=76%, list=11%, signal=86%	
STEROL METABOLIC PROCESS%GOBP%GO:0016125	STEROL METABOLIC PROCESS%GOBP%GO:0016125	Details ...	53	0.70732486	2.1984503	0.0	0.0014690484	0.006	1480	tags=49%, list=11%, signal=55%	
ZOLEDRONATE ACTION PATHWAY%PATHWHIZ%PW000270	ZOLEDRONATE ACTION PATHWAY%PATHWHIZ%PW000270	Details ...	21	0.8216702	2.1816308	0.0	0.0015737867	0.008	1480	tags=76%, list=11%, signal=86%	
CHOLESTEROL METABOLIC PROCESS%GOBP%GO:0008203	CHOLESTEROL METABOLIC PROCESS%GOBP%GO:0008203	Details ...	45	0.7096464	2.1813047	0.0	0.0013114889	0.008	1480	tags=49%, list=11%, signal=55%	
SUPERPATHWAY OF CHOLESTEROL BIOSYNTHESIS%BIOCYC%PWY66-5	SUPERPATHWAY OF CHOLESTEROL BIOSYNTHESIS%BIOCYC%PWY66-5	Details ...	24	0.814675	2.181157	0.0	0.0011241335	0.008	1422	tags=71%, list=11%, signal=79%	
LYSOSOMAL ACID LIPASE DEFICIENCY (WOLMAN DISEASE)%PATHWHIZ%PW000099	LYSOSOMAL ACID LIPASE DEFICIENCY (WOLMAN DISEASE)%PATHWHIZ%PW000099	Details ...	21	0.8216702	2.1640718	0.0	0.0012292053	0.01	1480	tags=76%, list=11%, signal=86%	
ROSUVASTATIN ACTION PATHWAY%SMPDB%SMP0000092	ROSUVASTATIN ACTION PATHWAY%SMPDB%SMP0000092	Details ...	21	0.8216702	2.1571963	0.0	0.0010926268	0.01	1480	tags=76%, list=11%, signal=86%	
SIMVASTATIN ACTION PATHWAY%PATHWHIZ%PW000127	SIMVASTATIN ACTION PATHWAY%PATHWHIZ%PW000127	Details ...	21	0.8216702	2.1564946	0.0	9.833642E-4	0.01	1480	tags=76%, list=11%, signal=86%	
PRAVASTATIN ACTION PATHWAY%SMPDB%SMP0000089	PRAVASTATIN ACTION PATHWAY%SMPDB%SMP0000089	Details ...	21	0.8216702	2.1534832	0.0	8.939674E-4	0.01	1480	tags=76%, list=11%, signal=86%	
CHOLESTERYL ESTER STORAGE DISEASE%SMPDB%SMP0000508	CHOLESTERYL ESTER STORAGE DISEASE%SMPDB%SMP0000508	Details ...	21	0.8216702	2.1527543	0.0	8.1947015E-4	0.01	1480	tags=76%, list=11%, signal=86%	
STEROID BIOSYNTHESIS%PATHWHIZ%PW000050	STEROID BIOSYNTHESIS%PATHWHIZ%PW000050	Details ...	21	0.8216702	2.1514082	0.0	7.56434E-4	0.01	1480	tags=76%, list=11%, signal=86%	
DESMOSTEROLOSIS%PATHWHIZ%PW000097	DESMOSTEROLOSIS%PATHWHIZ%PW000097	Details ...	21	0.8216702	2.145477	0.0	8.442674E-4	0.012	1480	tags=76%, list=11%, signal=86%	
CHILD SYNDROME%PATHWHIZ%PW000096	CHILD SYNDROME%PATHWHIZ%PW000096	Details ...	21	0.8216702	2.1409905	0.0	9.830556E-4	0.015	1480	tags=76%, list=11%, signal=86%	
SECONDARY ALCOHOL METABOLIC PROCESS%GOBP%GO:1902652	SECONDARY ALCOHOL METABOLIC PROCESS%GOBP%GO:1902652	Details ...	51	0.6885617	2.1400378	0.0	9.2161464E-4	0.015	1677	tags=47%, list=13%, signal=54%	
HYPER-IGD SYNDROME%SMPDB%SMP0000509	HYPER-IGD SYNDROME%SMPDB%SMP0000509	Details ...	21	0.8216702	2.139591	0.0	8.67402E-4	0.015	1480	tags=76%, list=11%, signal=86%	
PAMIDRONATE ACTION PATHWAY%PATHWHIZ%PW000273	PAMIDRONATE ACTION PATHWAY%PATHWHIZ%PW000273	Details ...	21	0.8216702	2.138999	0.0	8.1921293E-4	0.015	1480	tags=76%, list=11%, signal=86%	
FLUVASTATIN ACTION PATHWAY%PATHWHIZ%PW000274	FLUVASTATIN ACTION PATHWAY%PATHWHIZ%PW000274	Details ...	21	0.8216702	2.137773	0.0	7.760965E-4	0.015	1480	tags=76%, list=11%, signal=86%	
SMITH-LEMLI-OPITZ SYNDROME (SLOS)%PATHWHIZ%PW000095	SMITH-LEMLI-OPITZ SYNDROME (SLOS)%PATHWHIZ%PW000095	Details ...	21	0.8216702	2.1367428	0.0	7.3729164E-4	0.015	1480	tags=76%, list=11%, signal=86%	
CHONDRODYSPLASIA PUNCTATA II, X-LINKED DOMINANT (CDPX2)%SMPDB%SMP0000388	CHONDRODYSPLASIA PUNCTATA II, X-LINKED DOMINANT (CDPX2)%SMPDB%SMP0000388		21	0.8216702	2.132804	0.0	7.4849214E-4	0.016	1480	tags=76%, list=11%, signal=86%	
ATORVASTATIN ACTION PATHWAY%SMPDB%SMP0000131	ATORVASTATIN ACTION PATHWAY%SMPDB%SMP0000131		21	0.8216702	2.1262326	0.0	8.4959745E-4	0.019	1480	tags=76%, list=11%, signal=86%	
ALENDRONATE ACTION PATHWAY%PATHWHIZ%PW000137	ALENDRONATE ACTION PATHWAY%PATHWHIZ%PW000137		21	0.8216702	2.126191	0.0	8.1265846E-4	0.019	1480	tags=76%, list=11%, signal=86%	
RISEDRONATE ACTION PATHWAY%PATHWHIZ%PW000272	RISEDRONATE ACTION PATHWAY%PATHWHIZ%PW000272		21	0.8216702	2.1253939	0.0	8.199037E-4	0.02	1480	tags=76%, list=11%, signal=86%	
CHOLESTEROL BIOSYNTHETIC PROCESS%GOBP%GO:0006695	CHOLESTEROL BIOSYNTHETIC PROCESS%GOBP%GO:0006695		24	0.7885419	2.1231594	0.0	8.2636316E-4	0.021	1408	tags=67%, list=11%, signal=75%	
WOLMAN DISEASE%PATHWHIZ%PW000487	WOLMAN DISEASE%PATHWHIZ%PW000487		21	0.8216702	2.1175551	0.0	8.7033166E-4	0.023	1480	tags=76%, list=11%, signal=86%	
SECONDARY ALCOHOL BIOSYNTHETIC PROCESS%GOBP%GO:1902653	SECONDARY ALCOHOL BIOSYNTHETIC PROCESS%GOBP%GO:1902653		24	0.7885419	2.1171691	0.0017123288	8.380971E-4	0.023	1408	tags=67%, list=11%, signal=75%	
CHOLESTEROL BIOSYNTHESIS%REACTOME%R-HSA-191273.8	CHOLESTEROL BIOSYNTHESIS%REACTOME%R-HSA-191273.8		26	0.7670268	2.1142654	0.0	8.081651E-4	0.023	1422	tags=65%, list=11%, signal=73%	
STEROL BIOSYNTHETIC PROCESS%GOBP%GO:0016126	STEROL BIOSYNTHETIC PROCESS%GOBP%GO:0016126		27	0.7847443	2.113699	0.0	8.143608E-4	0.024	1408	tags=67%, list=11%, signal=75%	
MEVALONIC ACIDURIA%SMPDB%SMP0000510	MEVALONIC ACIDURIA%SMPDB%SMP0000510		21	0.8216702	2.10278	0.0	9.5289695E-4	0.029	1480	tags=76%, list=11%, signal=86%	
SENSORY PERCEPTION%REACTOME%R-HSA-9709957.3	SENSORY PERCEPTION%REACTOME%R-HSA-9709957.3		103	0.5952315	2.0966058	0.0	0.001016743	0.032	1767	tags=39%, list=14%, signal=45%	
LOVASTATIN ACTION PATHWAY%SMPDB%SMP0000099	LOVASTATIN ACTION PATHWAY%SMPDB%SMP0000099		21	0.8216702	2.0932631	0.0	0.0010777498	0.035	1480	tags=76%, list=11%, signal=86%	
CERIVASTATIN ACTION PATHWAY%PATHWHIZ%PW000271	CERIVASTATIN ACTION PATHWAY%PATHWHIZ%PW000271		21	0.8216702	2.0905464	0.0	0.0011049629	0.037	1480	tags=76%, list=11%, signal=86%	
SODIUM ION TRANSPORT%GOBP%GO:0006814	SODIUM ION TRANSPORT%GOBP%GO:0006814		50	0.6613385	2.059344	0.0	0.0022236973	0.076	1505	tags=46%, list=12%, signal=52%	
MUSCLE CONTRACTION%REACTOME%R-HSA-397014.3	MUSCLE CONTRACTION%REACTOME%R-HSA-397014.3		99	0.5924625	2.0502448	0.0	0.0025813733	0.089	2229	tags=41%, list=17%, signal=50%	
ISOPRENOID METABOLIC PROCESS%GOBP%GO:0006720	ISOPRENOID METABOLIC PROCESS%GOBP%GO:0006720		65	0.6296911	2.0390592	0.0	0.0032738573	0.113	1881	tags=43%, list=14%, signal=50%	
METAPATHWAY BIOTRANSFORMATION PHASE I AND II%WIKIPATHWAYS_20220510%WP702%HOMO SAPIENS	METAPATHWAY BIOTRANSFORMATION PHASE I AND II%WIKIPATHWAYS_20220510%WP702%HOMO SAPIENS		57	0.63713765	2.0221124	0.0	0.0046453355	0.158	1563	tags=37%, list=12%, signal=42%	
STEROID BIOSYNTHETIC PROCESS%GOBP%GO:0006694	STEROID BIOSYNTHETIC PROCESS%GOBP%GO:0006694		59	0.64096034	2.0198722	0.0	0.004678113	0.163	2486	tags=56%, list=19%, signal=69%	
HALLMARK_MYOGENESIS%MSIGDBHALLMARK%HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS%MSIGDBHALLMARK%HALLMARK_MYOGENESIS		94	0.5821194	2.0187879	0.0	0.004684233	0.167	2292	tags=38%, list=18%, signal=46%	
TERPENOID METABOLIC PROCESS%GOBP%GO:0006721	TERPENOID METABOLIC PROCESS%GOBP%GO:0006721		37	0.6852302	2.0091453	0.0	0.0055511417	0.198	1881	tags=59%, list=14%, signal=69%	
RETINOID METABOLIC PROCESS%GOBP%GO:0001523	RETINOID METABOLIC PROCESS%GOBP%GO:0001523		31	0.707338	2.0070744	0.0	0.0055823284	0.204	1742	tags=58%, list=13%, signal=67%	
ISOPRENOID BIOSYNTHETIC PROCESS%GOBP%GO:0008299	ISOPRENOID BIOSYNTHETIC PROCESS%GOBP%GO:0008299		16	0.8029972	1.9982356	0.0	0.0064053163	0.236	1647	tags=56%, list=13%, signal=64%	
DITERPENOID METABOLIC PROCESS%GOBP%GO:0016101	DITERPENOID METABOLIC PROCESS%GOBP%GO:0016101		33	0.6917048	1.987353	0.0	0.0075368453	0.278	1881	tags=58%, list=14%, signal=67%	
ALCOHOL METABOLIC PROCESS%GOBP%GO:0006066	ALCOHOL METABOLIC PROCESS%GOBP%GO:0006066		162	0.53263617	1.9839251	0.0	0.0076328334	0.286	1790	tags=32%, list=14%, signal=37%	
CARDIAC CONDUCTION%REACTOME DATABASE ID RELEASE 83%5576891	CARDIAC CONDUCTION%REACTOME DATABASE ID RELEASE 83%5576891		58	0.61768353	1.9822506	0.0	0.007724334	0.292	2082	tags=45%, list=16%, signal=53%	
FATTY ACID METABOLIC PROCESS%GOBP%GO:0006631	FATTY ACID METABOLIC PROCESS%GOBP%GO:0006631		172	0.52130383	1.9767793	0.0	0.008133249	0.313	1872	tags=34%, list=14%, signal=39%	
ALCOHOL BIOSYNTHETIC PROCESS%GOBP%GO:0046165	ALCOHOL BIOSYNTHETIC PROCESS%GOBP%GO:0046165		60	0.61225283	1.9680241	0.0016583748	0.009149421	0.353	1408	tags=35%, list=11%, signal=39%	
ORGANIC HYDROXY COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:1901617	ORGANIC HYDROXY COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:1901617		92	0.56399554	1.9590131	0.0	0.01055319	0.403	2094	tags=40%, list=16%, signal=48%	
PRIMARY ALCOHOL METABOLIC PROCESS%GOBP%GO:0034308	PRIMARY ALCOHOL METABOLIC PROCESS%GOBP%GO:0034308		32	0.6893733	1.9556588	0.0	0.011120069	0.431	2654	tags=56%, list=20%, signal=70%	
HALLMARK_BILE_ACID_METABOLISM%MSIGDBHALLMARK%HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM%MSIGDBHALLMARK%HALLMARK_BILE_ACID_METABOLISM		61	0.6199224	1.9517269	0.0	0.01189839	0.462	1881	tags=43%, list=14%, signal=50%	
SODIUM ION TRANSMEMBRANE TRANSPORT%GOBP%GO:0035725	SODIUM ION TRANSMEMBRANE TRANSPORT%GOBP%GO:0035725		39	0.6644895	1.9482713	0.0	0.012453886	0.485	1414	tags=49%, list=11%, signal=54%	
REGULATION OF BLOOD PRESSURE%GOBP%GO:0008217	REGULATION OF BLOOD PRESSURE%GOBP%GO:0008217		52	0.6250202	1.9467356	0.0	0.012516697	0.494	1516	tags=35%, list=12%, signal=39%	
FATTY ACYL-COA BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 83%75105	FATTY ACYL-COA BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 83%75105		27	0.7060727	1.9441457	0.0	0.012687741	0.507	2311	tags=59%, list=18%, signal=72%	
IBUPROFEN ACTION PATHWAY%SMPDB%SMP0000086	IBUPROFEN ACTION PATHWAY%SMPDB%SMP0000086		23	0.72265726	1.9327621	0.0	0.015436267	0.584	825	tags=30%, list=6%, signal=32%	
METABOLISM OF STEROIDS%REACTOME DATABASE ID RELEASE 83%8957322	METABOLISM OF STEROIDS%REACTOME DATABASE ID RELEASE 83%8957322		111	0.54000413	1.9205627	0.0	0.018604103	0.662	2200	tags=37%, list=17%, signal=44%	
UNSATURATED FATTY ACID BIOSYNTHETIC PROCESS%GOBP%GO:0006636	UNSATURATED FATTY ACID BIOSYNTHETIC PROCESS%GOBP%GO:0006636		18	0.76078576	1.9165807	0.0	0.019395377	0.683	825	tags=39%, list=6%, signal=41%	
PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853	PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853		78	0.5650983	1.9036092	0.0	0.023308575	0.749	4913	tags=90%, list=38%, signal=143%	
PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526	PROTEIN SYNTHESIS: TRYPTOPHAN%PATHWHIZ%PW120526		78	0.56458974	1.9029909	0.0	0.02307664	0.753	4913	tags=90%, list=38%, signal=143%	
PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918	PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918		78	0.56459165	1.89808	0.0	0.024667738	0.782	4913	tags=90%, list=38%, signal=143%	
PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933		78	0.56320274	1.8971854	0.0	0.024647797	0.784	4913	tags=88%, list=38%, signal=141%	
MYELOID CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002275	MYELOID CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002275		22	0.70608497	1.8971536	0.0018050541	0.024259701	0.784	2113	tags=50%, list=16%, signal=60%	
PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928		78	0.5646792	1.8964692	0.0	0.02412077	0.787	4913	tags=90%, list=38%, signal=143%	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2	EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2		87	0.553525	1.8964034	0.0	0.02378463	0.787	4913	tags=85%, list=38%, signal=135%	
FATTY ACID METABOLISM%REACTOME%R-HSA-8978868.5	FATTY ACID METABOLISM%REACTOME%R-HSA-8978868.5		123	0.5297517	1.896364	0.0	0.023428427	0.787	2646	tags=47%, list=20%, signal=59%	
FERROPTOSIS%WIKIPATHWAYS_20220510%WP4313%HOMO SAPIENS	FERROPTOSIS%WIKIPATHWAYS_20220510%WP4313%HOMO SAPIENS		40	0.6407906	1.8935951	0.0	0.02406301	0.802	2477	tags=48%, list=19%, signal=58%	
PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862	PROTEIN SYNTHESIS: GLUTAMINE%SMPDB%SMP0111862		78	0.5664168	1.8921046	0.0	0.024276013	0.811	4913	tags=90%, list=38%, signal=143%	
STEROID METABOLIC PROCESS%GOBP%GO:0008202	STEROID METABOLIC PROCESS%GOBP%GO:0008202		98	0.54848194	1.8895437	0.0	0.025099961	0.826	1796	tags=42%, list=14%, signal=48%	
PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 83%156902	PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 83%156902		84	0.5538688	1.8870703	0.0015527951	0.025708897	0.836	4913	tags=87%, list=38%, signal=138%	
FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME DATABASE ID RELEASE 83%72689	FORMATION OF A POOL OF FREE 40S SUBUNITS%REACTOME DATABASE ID RELEASE 83%72689		95	0.5380037	1.8866768	0.0015384615	0.025492765	0.839	4913	tags=81%, list=38%, signal=129%	
PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934	PROTEIN SYNTHESIS: PHENYLALANINE%PATHWHIZ%PW112934		79	0.5557414	1.8851224	0.0	0.025802793	0.845	4913	tags=89%, list=38%, signal=141%	
PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858	PROTEIN SYNTHESIS: ASPARTIC ACID%SMPDB%SMP0111858		78	0.5644819	1.8838496	0.0015822785	0.025880435	0.848	4913	tags=90%, list=38%, signal=143%	
PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872		78	0.5636531	1.883304	0.0	0.025684286	0.851	4913	tags=88%, list=38%, signal=141%	
PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929	PROTEIN SYNTHESIS: HISTIDINE%PATHWHIZ%PW112929		78	0.5547426	1.8794863	0.0	0.02685305	0.865	4913	tags=88%, list=38%, signal=141%	
PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525	PROTEIN SYNTHESIS: THREONINE%PATHWHIZ%PW120525		78	0.5548607	1.8783205	0.0	0.026967881	0.868	4913	tags=88%, list=38%, signal=141%	
PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527		78	0.5562702	1.8778374	0.0	0.026791574	0.869	4913	tags=88%, list=38%, signal=141%	
PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695		78	0.5613442	1.8770076	0.0	0.026697684	0.87	4913	tags=88%, list=38%, signal=141%	
PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384		78	0.5642675	1.8748913	0.0	0.027305365	0.882	4913	tags=90%, list=38%, signal=143%	
PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874	PROTEIN SYNTHESIS: LYSINE%SMPDB%SMP0111874		78	0.56210047	1.8743064	0.0	0.027131876	0.883	4913	tags=88%, list=38%, signal=141%	
PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854		78	0.5615994	1.8736632	0.0	0.026999494	0.884	4913	tags=88%, list=38%, signal=141%	
LIPID CATABOLIC PROCESS%GOBP%GO:0016042	LIPID CATABOLIC PROCESS%GOBP%GO:0016042		135	0.51442176	1.8735863	0.0	0.026674455	0.885	2673	tags=38%, list=20%, signal=47%	
FATTY ACID DERIVATIVE BIOSYNTHETIC PROCESS%GOBP%GO:1901570	FATTY ACID DERIVATIVE BIOSYNTHETIC PROCESS%GOBP%GO:1901570		34	0.6456349	1.871088	0.0016891892	0.027301177	0.898	2311	tags=53%, list=18%, signal=64%	
LONG-CHAIN FATTY ACID METABOLIC PROCESS%GOBP%GO:0001676	LONG-CHAIN FATTY ACID METABOLIC PROCESS%GOBP%GO:0001676		59	0.5865622	1.8699003	0.0	0.027591454	0.907	1121	tags=32%, list=9%, signal=35%	
CALCIUM-MEDIATED SIGNALING%GOBP%GO:0019722	CALCIUM-MEDIATED SIGNALING%GOBP%GO:0019722		64	0.57984775	1.8696067	0.0	0.027353317	0.908	1943	tags=34%, list=15%, signal=40%	
REGULATION OF CELL ADHESION MEDIATED BY INTEGRIN%GOBP%GO:0033628	REGULATION OF CELL ADHESION MEDIATED BY INTEGRIN%GOBP%GO:0033628		26	0.6877229	1.8659805	0.0034129692	0.028497515	0.918	589	tags=23%, list=5%, signal=24%	
CYTOCHROME P450 - ARRANGED BY SUBSTRATE TYPE%REACTOME DATABASE ID RELEASE 83%211897	CYTOCHROME P450 - ARRANGED BY SUBSTRATE TYPE%REACTOME DATABASE ID RELEASE 83%211897		28	0.65931326	1.8657876	0.0033955858	0.028231451	0.919	1530	tags=32%, list=12%, signal=36%	
PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528	PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528		77	0.5637744	1.8656223	0.0	0.027937418	0.919	4913	tags=90%, list=38%, signal=143%	
PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873	PROTEIN SYNTHESIS: LEUCINE%SMPDB%SMP0111873		78	0.56052107	1.8610426	0.003125	0.0292293	0.927	4913	tags=88%, list=38%, signal=141%	
PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922	PROTEIN SYNTHESIS: GLUTAMIC ACID%PATHWHIZ%PW112922		78	0.5613442	1.8609793	0.003164557	0.028908104	0.928	4913	tags=88%, list=38%, signal=141%	
ICOSANOID BIOSYNTHETIC PROCESS%GOBP%GO:0046456	ICOSANOID BIOSYNTHETIC PROCESS%GOBP%GO:0046456		22	0.70286494	1.8598272	0.0	0.029001512	0.929	1716	tags=45%, list=13%, signal=52%	
STEROL HOMEOSTASIS%GOBP%GO:0055092	STEROL HOMEOSTASIS%GOBP%GO:0055092		41	0.62709826	1.8588263	0.0015974441	0.029106237	0.93	1609	tags=39%, list=12%, signal=44%	
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3		104	0.5319734	1.8533525	0.0	0.031031195	0.947	4913	tags=77%, list=38%, signal=122%	
REGULATION OF CHOLESTEROL BIOSYNTHESIS BY SREBP (SREBF)%REACTOME DATABASE ID RELEASE 83%1655829	REGULATION OF CHOLESTEROL BIOSYNTHESIS BY SREBP (SREBF)%REACTOME DATABASE ID RELEASE 83%1655829		53	0.5880394	1.8531622	0.0017006802	0.030799847	0.947	2156	tags=40%, list=16%, signal=47%	
