NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	138	0.74696594	2.2345843	0.0	0.0	0.0	1606	tags=44%, list=12%, signal=50%	
LONG-CHAIN FATTY ACID METABOLIC PROCESS%GOBP%GO:0001676	LONG-CHAIN FATTY ACID METABOLIC PROCESS%GOBP%GO:0001676	Details ...	59	0.7251478	1.9789044	0.0	0.13312206	0.272	1561	tags=37%, list=12%, signal=42%	
POSITIVE REGULATION OF PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0050731	POSITIVE REGULATION OF PEPTIDYL-TYROSINE PHOSPHORYLATION%GOBP%GO:0050731	Details ...	76	0.69197327	1.9741769	0.0	0.1025591	0.306	1985	tags=37%, list=15%, signal=43%	
CALCINEURIN-REGULATED NFAT-DEPENDENT TRANSCRIPTION IN LYMPHOCYTES%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CALCINEURIN-REGULATED NFAT-DEPENDENT TRANSCRIPTION IN LYMPHOCYTES	CALCINEURIN-REGULATED NFAT-DEPENDENT TRANSCRIPTION IN LYMPHOCYTES%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CALCINEURIN-REGULATED NFAT-DEPENDENT TRANSCRIPTION IN LYMPHOCYTES	Details ...	30	0.7816643	1.9605784	0.0	0.10829741	0.408	577	tags=27%, list=4%, signal=28%	
NGF-STIMULATED TRANSCRIPTION%REACTOME%R-HSA-9031628.2	NGF-STIMULATED TRANSCRIPTION%REACTOME%R-HSA-9031628.2	Details ...	31	0.7972182	1.9587855	0.0	0.09044905	0.422	598	tags=26%, list=5%, signal=27%	
REGULATION OF SMOOTH MUSCLE CELL PROLIFERATION%GOBP%GO:0048660	REGULATION OF SMOOTH MUSCLE CELL PROLIFERATION%GOBP%GO:0048660	Details ...	57	0.7081108	1.9571958	0.0	0.077690355	0.43	1179	tags=35%, list=9%, signal=38%	
CELLULAR RESPONSE TO FIBROBLAST GROWTH FACTOR STIMULUS%GOBP%GO:0044344	CELLULAR RESPONSE TO FIBROBLAST GROWTH FACTOR STIMULUS%GOBP%GO:0044344	Details ...	34	0.7552597	1.9499153	0.0	0.07833102	0.484	122	tags=12%, list=1%, signal=12%	
RESPONSE TO FIBROBLAST GROWTH FACTOR%GOBP%GO:0071774	RESPONSE TO FIBROBLAST GROWTH FACTOR%GOBP%GO:0071774	Details ...	36	0.74995387	1.9458315	0.0012987013	0.07589178	0.519	122	tags=11%, list=1%, signal=11%	
BLOOD VESSEL ENDOTHELIAL CELL MIGRATION%GOBP%GO:0043534	BLOOD VESSEL ENDOTHELIAL CELL MIGRATION%GOBP%GO:0043534	Details ...	19	0.83537745	1.9382335	0.0	0.078701414	0.574	187	tags=21%, list=1%, signal=21%	
OVERVIEW OF PROINFLAMMATORY AND PROFIBROTIC MEDIATORS%WIKIPATHWAYS_20220510%WP5095%HOMO SAPIENS	OVERVIEW OF PROINFLAMMATORY AND PROFIBROTIC MEDIATORS%WIKIPATHWAYS_20220510%WP5095%HOMO SAPIENS	Details ...	23	0.8007603	1.9372934	0.0	0.07238973	0.58	1422	tags=48%, list=11%, signal=54%	
MONOATOMIC ANION TRANSPORT%GOBP%GO:0006820	MONOATOMIC ANION TRANSPORT%GOBP%GO:0006820	Details ...	47	0.7152357	1.935642	0.0012738854	0.068480834	0.595	1293	tags=23%, list=10%, signal=26%	
CHLORIDE TRANSPORT%GOBP%GO:0006821	CHLORIDE TRANSPORT%GOBP%GO:0006821	Details ...	37	0.74577457	1.9321753	0.0	0.06774465	0.623	1293	tags=30%, list=10%, signal=33%	
CYTOCHROME P450 - ARRANGED BY SUBSTRATE TYPE%REACTOME DATABASE ID RELEASE 83%211897	CYTOCHROME P450 - ARRANGED BY SUBSTRATE TYPE%REACTOME DATABASE ID RELEASE 83%211897	Details ...	28	0.7755302	1.9208692	0.0	0.07804613	0.707	1130	tags=36%, list=9%, signal=39%	
IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON-LYMPHOID CELL%REACTOME%R-HSA-198933.7	IMMUNOREGULATORY INTERACTIONS BETWEEN A LYMPHOID AND A NON-LYMPHOID CELL%REACTOME%R-HSA-198933.7	Details ...	30	0.7511383	1.9154818	0.0013333333	0.08007213	0.743	2088	tags=50%, list=16%, signal=59%	
CELL CHEMOTAXIS%GOBP%GO:0060326	CELL CHEMOTAXIS%GOBP%GO:0060326	Details ...	81	0.66281927	1.9147313	0.0	0.076000266	0.745	1594	tags=27%, list=12%, signal=31%	
PID_AP1_PATHWAY%MSIGDB_C2%PID_AP1_PATHWAY	PID_AP1_PATHWAY%MSIGDB_C2%PID_AP1_PATHWAY	Details ...	40	0.7206734	1.9132905	0.0	0.07368241	0.756	553	tags=25%, list=4%, signal=26%	
OREXIN RECEPTOR PATHWAY%WIKIPATHWAYS_20220510%WP5094%HOMO SAPIENS	OREXIN RECEPTOR PATHWAY%WIKIPATHWAYS_20220510%WP5094%HOMO SAPIENS	Details ...	77	0.6798566	1.9104635	0.0	0.07412353	0.775	1196	tags=34%, list=9%, signal=37%	
NUCLEAR EVENTS (KINASE AND TRANSCRIPTION FACTOR ACTIVATION)%REACTOME%R-HSA-198725.2	NUCLEAR EVENTS (KINASE AND TRANSCRIPTION FACTOR ACTIVATION)%REACTOME%R-HSA-198725.2	Details ...	53	0.70612377	1.9102012	0.0	0.07058157	0.779	1218	tags=23%, list=9%, signal=25%	
POSITIVE REGULATION OF EPITHELIAL CELL PROLIFERATION%GOBP%GO:0050679	POSITIVE REGULATION OF EPITHELIAL CELL PROLIFERATION%GOBP%GO:0050679	Details ...	93	0.65437657	1.8946875	0.0	0.0917661	0.87	1312	tags=26%, list=10%, signal=28%	
PHASE I - FUNCTIONALIZATION OF COMPOUNDS%REACTOME DATABASE ID RELEASE 83%211945	PHASE I - FUNCTIONALIZATION OF COMPOUNDS%REACTOME DATABASE ID RELEASE 83%211945	Details ...	54	0.70333636	1.8924303	0.0	0.09107158	0.882	1130	tags=33%, list=9%, signal=36%	
CELL MIGRATION INVOLVED IN SPROUTING ANGIOGENESIS%GOBP%GO:0002042	CELL MIGRATION INVOLVED IN SPROUTING ANGIOGENESIS%GOBP%GO:0002042		15	0.85214984	1.8849461	0.0014749262	0.09999426	0.913	187	tags=20%, list=1%, signal=20%	
ICOSANOID METABOLIC PROCESS%GOBP%GO:0006690	ICOSANOID METABOLIC PROCESS%GOBP%GO:0006690		52	0.68929136	1.8841174	0.0012077295	0.097217016	0.916	1346	tags=38%, list=10%, signal=43%	
INORGANIC ANION TRANSPORT%GOBP%GO:0015698	INORGANIC ANION TRANSPORT%GOBP%GO:0015698		54	0.7086676	1.8832971	0.0	0.09441962	0.919	1293	tags=26%, list=10%, signal=29%	
PRIMARY ALCOHOL METABOLIC PROCESS%GOBP%GO:0034308	PRIMARY ALCOHOL METABOLIC PROCESS%GOBP%GO:0034308		32	0.74184805	1.8829162	0.0	0.09106277	0.922	1635	tags=47%, list=13%, signal=53%	
AP-1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AP-1 TRANSCRIPTION FACTOR NETWORK	AP-1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%AP-1 TRANSCRIPTION FACTOR NETWORK		50	0.7051134	1.8819442	0.0011876485	0.08887147	0.923	774	tags=26%, list=6%, signal=28%	
HALLMARK_INFLAMMATORY_RESPONSE%MSIGDBHALLMARK%HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE%MSIGDBHALLMARK%HALLMARK_INFLAMMATORY_RESPONSE		98	0.6450249	1.8803723	0.0	0.0881121	0.932	2026	tags=41%, list=15%, signal=48%	
NUCLEAR RECEPTORS META-PATHWAY%WIKIPATHWAYS_20220510%WP2882%HOMO SAPIENS	NUCLEAR RECEPTORS META-PATHWAY%WIKIPATHWAYS_20220510%WP2882%HOMO SAPIENS		156	0.62314427	1.8802128	0.0	0.085136615	0.932	1906	tags=32%, list=15%, signal=37%	
DOWNSTREAM SIGNALING IN NAIVE CD8+ T CELLS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%DOWNSTREAM SIGNALING IN NAIVE CD8+ T CELLS	DOWNSTREAM SIGNALING IN NAIVE CD8+ T CELLS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%DOWNSTREAM SIGNALING IN NAIVE CD8+ T CELLS		29	0.7273686	1.8750536	0.0013089005	0.090681285	0.946	553	tags=17%, list=4%, signal=18%	
RETINOID METABOLIC PROCESS%GOBP%GO:0001523	RETINOID METABOLIC PROCESS%GOBP%GO:0001523		31	0.74718124	1.8686011	0.0	0.09861988	0.96	1635	tags=58%, list=13%, signal=66%	
ENERGY HOMEOSTASIS%GOBP%GO:0097009	ENERGY HOMEOSTASIS%GOBP%GO:0097009		25	0.76492107	1.8651066	0.004048583	0.10121703	0.971	682	tags=24%, list=5%, signal=25%	
TERPENOID METABOLIC PROCESS%GOBP%GO:0006721	TERPENOID METABOLIC PROCESS%GOBP%GO:0006721		37	0.7142102	1.8631414	0.0012722646	0.101667106	0.975	1635	tags=51%, list=13%, signal=59%	
DITERPENOID METABOLIC PROCESS%GOBP%GO:0016101	DITERPENOID METABOLIC PROCESS%GOBP%GO:0016101		33	0.73617095	1.8608905	0.0	0.10211211	0.977	1635	tags=55%, list=13%, signal=62%	
PID_NFAT_TFPATHWAY%MSIGDB_C2%PID_NFAT_TFPATHWAY	PID_NFAT_TFPATHWAY%MSIGDB_C2%PID_NFAT_TFPATHWAY		24	0.76552516	1.8573927	0.0	0.105021015	0.979	577	tags=29%, list=4%, signal=30%	
PID_CD8_TCR_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_CD8_TCR_DOWNSTREAM_PATHWAY	PID_CD8_TCR_DOWNSTREAM_PATHWAY%MSIGDB_C2%PID_CD8_TCR_DOWNSTREAM_PATHWAY		28	0.74178046	1.8536961	0.00397351	0.10915713	0.984	553	tags=18%, list=4%, signal=19%	
REGULATION OF CYTOKINE PRODUCTION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002718	REGULATION OF CYTOKINE PRODUCTION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002718		46	0.6946175	1.8521868	0.0012121212	0.10853291	0.984	1445	tags=30%, list=11%, signal=34%	
VITAMIN B12 METABOLISM%WIKIPATHWAYS_20220510%WP1533%HOMO SAPIENS	VITAMIN B12 METABOLISM%WIKIPATHWAYS_20220510%WP1533%HOMO SAPIENS		20	0.78435504	1.8514172	0.0041958042	0.10679067	0.986	1389	tags=50%, list=11%, signal=56%	
CELLULAR RESPONSE TO VASCULAR ENDOTHELIAL GROWTH FACTOR STIMULUS%GOBP%GO:0035924	CELLULAR RESPONSE TO VASCULAR ENDOTHELIAL GROWTH FACTOR STIMULUS%GOBP%GO:0035924		28	0.74405223	1.8492339	0.0	0.10750498	0.986	187	tags=14%, list=1%, signal=14%	
